iter	Passed	Remaining
442	2110	271
443	2114	266
444	2118	261
445	2123	257
446	2127	252
447	2131	247
448	2136	242
449	2141	237
450	2145	233
451	2148	228
452	2155	223
453	2159	218
454	2162	213
455	2167	209
456	2172	204
457	2176	199
458	2180	194
459	2190	190
460	2195	185
461	2198	180
462	2204	176
463	2208	171
464	2211	166
465	2216	161
466	2221	156
467	2225	152
468	2228	147
469	2233	142
470	2238	137
471	2242	133
472	2246	128
473	2252	123
474	2255	118
475	2259	113
476	2264	109
477	2270	104
478	2274	99
479	2277	94
480	2283	90
481	2287	85
482	2291	80
483	2295	75
484	2300	71
485	2304	66
486	2308	61
487	2313	56
488	2318	52
489	2322	47
490	2325	42
491	2331	37
492	2335	33
493	2338	28
494	2342	23
495	2347	18
496	2351	14
497	2355	9
498	2360	4
499	2365	0
