iter	Logloss
0	0.5999227858
1	0.5262695333
2	0.4685516608
3	0.4188831254
4	0.3708055095
5	0.3292682345
6	0.2889681029
7	0.2616015016
8	0.2374175144
9	0.2169699536
10	0.1999282438
11	0.1844340825
12	0.1690972919
13	0.1561504686
14	0.146537887
15	0.138501384
16	0.1327004643
17	0.1272506145
18	0.1196163445
19	0.1140185515
20	0.1083956649
21	0.1034118019
22	0.100250972
23	0.09636326009
24	0.09302644697
25	0.08935221651
26	0.08585168448
27	0.08327069698
28	0.08102664066
29	0.07852191794
30	0.07643352563
31	0.07432599707
32	0.0719879567
33	0.0699889037
34	0.06866072815
35	0.06648630919
36	0.06539295518
37	0.06412901454
38	0.06313675724
39	0.06177328781
40	0.06012207351
41	0.05875553404
42	0.05797141685
43	0.05694556749
44	0.05583536882
45	0.05518319089
46	0.05457702775
47	0.05338100351
48	0.05287474685
49	0.05212235614
50	0.05121823906
51	0.05038049543
52	0.0497664878
53	0.04832659379
54	0.04746078535
55	0.04677912867
56	0.04623440637
57	0.04537623642
58	0.04488103007
59	0.04415988222
60	0.04310262926
61	0.0427859492
62	0.04214001635
63	0.04139096863
64	0.04052024811
65	0.04016155693
66	0.03973331937
67	0.0389973618
68	0.03845428954
69	0.03806951788
70	0.03746326096
71	0.03688566605
72	0.03639993976
73	0.03592944099
74	0.03553888149
75	0.03489879899
76	0.03415176407
77	0.03364463235
78	0.03335188933
79	0.03293729762
80	0.03247788974
81	0.03216770577
82	0.03196206531
83	0.03177357187
84	0.03133918441
85	0.03092344073
86	0.03053940859
87	0.03043855426
88	0.03013630109
89	0.02991791947
90	0.02946170296
91	0.02902597504
92	0.02870792419
93	0.02817437094
94	0.02797034295
95	0.02730171368
96	0.02706142041
97	0.02694480993
98	0.02679210353
99	0.02654118127
100	0.0264189332
101	0.02601246591
102	0.02576088485
103	0.02567944555
104	0.02558030494
105	0.02541787237
106	0.0246928662
107	0.02413571791
108	0.02404326235
109	0.02381136319
110	0.02353719069
111	0.02342315989
112	0.02335545975
113	0.02315324767
114	0.02295240357
115	0.02284167098
116	0.02265958497
117	0.02256620887
118	0.02230707633
119	0.02202560664
120	0.02187945791
121	0.02180470086
122	0.02136336287
123	0.02114157434
124	0.02085113899
125	0.02064006949
126	0.02046657262
127	0.02045066856
128	0.02012229292
129	0.019945719
130	0.01985526645
131	0.01957240403
132	0.01922373622
133	0.01907228817
134	0.01881476811
135	0.01871946413
136	0.01857229362
137	0.01845388356
138	0.01836285106
139	0.01815306044
140	0.01800620253
141	0.0179235296
142	0.01763881956
143	0.01755230441
144	0.01747659461
145	0.01735417017
146	0.01720935351
147	0.01709318721
148	0.01674636983
149	0.01669182469
150	0.01664382744
151	0.01659417852
152	0.01632605327
153	0.0160573448
154	0.01599365484
155	0.0159049412
156	0.01584857084
157	0.01574863286
158	0.01552214268
159	0.01520358326
160	0.01509927677
161	0.01483588209
162	0.01477640529
163	0.01471005681
164	0.01465226246
165	0.01459477792
166	0.01447169421
167	0.01424344878
168	0.01412763848
