iter	Logloss
169	0.01408990209
170	0.01399376761
171	0.01383148201
172	0.0136509091
173	0.01361142539
174	0.0135512114
175	0.01353010879
176	0.01337396609
177	0.01328226592
178	0.01325033649
179	0.01309109014
180	0.01302646844
181	0.01288136297
182	0.01266868754
183	0.01260281029
184	0.01241872222
185	0.01228728733
186	0.01227423356
187	0.01225448075
188	0.01221062106
189	0.01218457045
190	0.01203065936
191	0.01190251614
192	0.01176555376
193	0.01163046141
194	0.01150366845
195	0.01133051544
196	0.01119439289
197	0.01109330995
198	0.011006457
199	0.01085665735
200	0.01061299776
201	0.01047811909
202	0.01042975418
203	0.01041302382
204	0.01014668228
205	0.01010085132
206	0.009918831099
207	0.009899949374
208	0.00982608114
209	0.009720747718
210	0.00960252243
211	0.00957687447
212	0.009501572924
213	0.009381997375
214	0.009199792858
215	0.009173497762
216	0.009164831643
217	0.00907307175
218	0.008983118893
219	0.008922734606
220	0.008901592337
221	0.008804288629
222	0.008697566221
223	0.008638468274
224	0.008569925499
225	0.008485162795
226	0.008466036586
227	0.008447985826
228	0.008382462709
229	0.008310708514
230	0.008224750452
231	0.008133424472
232	0.007978813056
233	0.007926709498
234	0.00787540098
235	0.007875351057
236	0.007830029131
237	0.007819617564
238	0.007778187321
239	0.007716047321
240	0.007651787681
241	0.007589252961
242	0.00757530664
243	0.00756565512
244	0.007506200712
245	0.007492874467
246	0.007431828113
247	0.007379752083
248	0.007321259747
249	0.007265557515
250	0.007256003509
251	0.007216412494
252	0.007204242415
253	0.007176192539
254	0.007122214293
255	0.007110563043
256	0.007055058171
257	0.00700117324
258	0.007001136847
259	0.006973550278
260	0.006934893808
261	0.006884892159
262	0.006879527975
263	0.006876975356
264	0.006846938348
265	0.006842649146
266	0.006833599971
267	0.006774873883
268	0.006763246428
269	0.006715949501
270	0.006667460481
271	0.006623664248
272	0.006612713323
273	0.006569486775
274	0.006560062476
275	0.006513462608
276	0.006504341114
277	0.006495295205
278	0.006439053616
279	0.006406711272
280	0.006397998496
281	0.006397846394
282	0.00638933751
283	0.006381183688
284	0.006319117873
285	0.006293547363
286	0.006284718877
287	0.006273319577
288	0.006265706512
289	0.006258246017
290	0.00625094089
291	0.006198019897
292	0.006190877605
293	0.006144382716
294	0.006136325474
295	0.006131171247
296	0.006131161916
297	0.006080265381
298	0.006080281711
299	0.006080252784
300	0.006080258849
301	0.006080228055
302	0.006080233188
303	0.006080231788
304	0.006074546135
305	0.006074616121
306	0.006074574596
307	0.00606913016
308	0.00598124282
309	0.005975477383
310	0.005964845594
311	0.005964834863
312	0.00595857066
313	0.005958508605
314	0.005952363845
315	0.005898411727
316	0.00589836367
317	0.005845399285
318	0.005802182535
319	0.005754540811
320	0.005744204829
321	0.005717112827
322	0.005713859883
323	0.005707862559
324	0.005707836431
325	0.005703935884
326	0.00569888617
327	0.005649575982
328	0.005639603926
329	0.005598854879
330	0.005554694719
331	0.005545324542
332	0.005510435179
333	0.005503730065
334	0.005503730065
335	0.005499130592
336	0.005444650781
337	0.00544055474
338	0.005440556606
339	0.00543635792
340	0.005436336458
341	0.005436351388
342	0.005434346526
343	0.00543439225
344	0.00543113464
345	0.005427324142
346	0.00542483731
347	0.00542483731
348	0.005424683341
349	0.005424661412
350	0.005424684741
351	0.005420746402
352	0.005420746402
353	0.005420709543
354	0.005387661742
355	0.005387639346
356	0.005387665008
357	0.005387665941
358	0.005387608552
359	0.005387646811
360	0.005383778458
361	0.005383766794
362	0.005379860648
363	0.005379889109
364	0.005379869513
365	0.005376272239
366	0.00537621485
367	0.00537621765
368	0.005376205052
369	0.005376189189
370	0.005376186856
371	0.005376181257
372	0.005376134133
373	0.005376138799
374	0.005376129468
375	0.005376129468
376	0.005376116404
377	0.005372505132
378	0.005372490202
379	0.005372434213
380	0.005372438879
381	0.005372444478
382	0.00537236516
383	0.00537236516
384	0.005372332967
385	0.005372332967
386	0.005368818276
387	0.005368716563
388	0.005368709564
389	0.005368726361
390	0.005368727761
391	0.005368714697
392	0.005368710497
393	0.005368711897
394	0.005368703965
395	0.005368705832
396	0.005368705832
397	0.005368635846
398	0.005368661041
399	0.005368628381
400	0.005368640045
401	0.005368625115
402	0.00536863258
403	0.005368615317
404	0.005368607385
405	0.005368624181
406	0.005368605985
407	0.005368589655
408	0.005368550463
409	0.005368544398
410	0.005368549063
411	0.005368529934
412	0.005368490742
413	0.005368487942
414	0.005368452016
415	0.005368436619
416	0.005368439419
417	0.005368389495
418	0.005368394161
419	0.005368394161
420	0.005368397427
421	0.005368374099
422	0.005368354969
423	0.005368347037
424	0.005368325575
425	0.005368323242
426	0.005368304113
427	0.005368307845
428	0.005368309712
429	0.00536829898
430	0.005368291982
431	0.005368300847
432	0.005368292448
433	0.005368221529
434	0.005368231794
435	0.005368214531
436	0.005368203333
437	0.005368200534
438	0.005368212664
439	0.005368201467
440	0.005368182804
441	0.005368181871
442	0.005368181871
443	0.005368194002
444	0.005368194002
445	0.005368195401
446	0.005368176738
447	0.005368162275
448	0.005368155276
449	0.005368138013
450	0.005368154809
451	0.00536813428
452	0.005368140812
453	0.005368102087
454	0.005368117017
455	0.005368079691
456	0.005368104886
457	0.005368043299
458	0.005368047498
459	0.005368030701
460	0.005368006439
461	0.005368027435
462	0.005368020437
463	0.005368008772
464	0.00536798871
465	0.005367988243
466	0.005367979845
467	0.005367985444
468	0.005367989176
469	0.00536798451
470	0.005367973779
471	0.005367974246
472	0.00536796958
473	0.005367954183
474	0.00536793552
475	0.005367966314
476	0.005367958382
477	0.00536792199
478	0.005367928055
479	0.005367925256
480	0.005367955116
481	0.0053678716
482	0.005367857603
483	0.005367871133
484	0.00536785527
485	0.005367830075
486	0.005367833341
487	0.005367834274
488	0.005367802081
489	0.005367796948
490	0.005367806746
491	0.005367782018
492	0.005367770354
493	0.005367768954
494	0.005367761955
495	0.005367747958
496	0.00536772463
497	0.005367705967
498	0.005367708299
499	0.0053677041
