iter	Passed	Remaining
454	1803	178
455	1807	174
456	1810	170
457	1814	166
458	1818	162
459	1821	158
460	1825	154
461	1828	150
462	1832	146
463	1836	142
464	1841	138
465	1844	134
466	1848	130
467	1852	126
468	1855	122
469	1859	118
470	1862	114
471	1866	110
472	1870	106
473	1874	102
474	1877	98
475	1881	94
476	1885	90
477	1889	86
478	1892	82
479	1896	79
480	1899	75
481	1903	71
482	1907	67
483	1910	63
484	1914	59
485	1917	55
486	1921	51
487	1924	47
488	1928	43
489	1931	39
490	1936	35
491	1940	31
492	1944	27
493	1948	23
494	1952	19
495	1956	15
496	1959	11
497	1963	7
498	1967	3
499	1970	0
